2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
1.62E+13,1.68E+13,1.75E+13,1.82E+13,1.87E+13,1.95E+13
8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13
1.28E+12,1.37E+12,1.48E+12,1.47E+12,1.5E+12,1.62E+12
2.7E+12,2.79E+12,3.06E+12,2.93E+12,2.69E+12,2.67E+12
2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.6E+12
6.2E+12,5.16E+12,4.85E+12,4.39E+12,4.92E+12,4.87E+12
3.53E+12,3.73E+12,3.88E+12,3.36E+12,3.47E+12,3.67E+12
1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12
1.83E+12,1.86E+12,2.04E+12,2.1E+12,2.29E+12,2.65E+12
2.47E+12,2.47E+12,2.46E+12,1.8E+12,1.8E+12,2.06E+12
2.21E+12,2.29E+12,2.06E+12,1.36E+12,1.28E+12,1.57E+12
