2012,2013,2014,2015,2016,2017
313830990,315993715,318301008,320635163,322941311,324985539
1350695000,1357380000,1364270000,1371220000,1378665000,1386395000
50199853,50428893,50746659,51014947,51217803,51361911
63700215,64128273,64602298,65116219,65611593,66058859
65659809,65998687,66312067,66548272,66724104,66864379
127629000,127445000,127276000,127141000,126994511,126785797
80425823,80645605,80982500,81686611,82348669,82657002
22733465,23128129,23475686,23815995,24190907,24601860
1265782790,1280846129,1295604184,1310152403,1324509589,1338658835
199287296,201035903,202763735,204471769,206163058,207833831
143201721,143506995,143819666,144096870,144342396,144496740
