2012,2013,2014,2015,2016,2017
0,4.931049824,4.961740017,0,0,0
0,0,0,0,0,0
0,0,0,0,4.333099842,0
0,5.529799938,5.598999977,5.556159973,5.426700115,5.442090034
0,0,0,0,0,5.451600075
3.692260027,3.665380001,3.59059,0,3.186180115,3.182179928
4.956580162,4.961110115,4.939620018,4.834980011,4.840219975,4.905119896
4.868999958,5.229740143,5.164770126,5.311270237,5.276780128,5.124249935
3.867500067,3.844670057,0,0,0,0
5.855100155,5.838850021,5.948480129,6.24105978,6.314040184,6.32254982
3.793100119,3.763829947,4.013879776,3.834029913,0,4.689909935
