2012,2013,2014,2015,2016,2017
8440.995117,8647.643555,9067.999023,9538.070313,9941.347656,10246.13867
283.5221863,328.184906,361.7244263,392.8460388,398.3315735,440.8256226
1575.856079,1712.077515,1910.741455,1925.468506,2040.405273,2283.074707
3492.889648,4207.887695,4601.137207,4326.25,3945.009033,3858.674316
4652.287109,4900.390137,4987.874023,4204.090332,4256.961426,4379.727051
5212.069824,4336.149902,4099.464844,3733.67334,4174.904297,4168.986328
4754.655762,5094.416016,5290.722168,4617.490723,4734.183105,5033.452148
6047.057617,5838.413574,5637.566895,4887.800781,4999.810547,5331.817871
49.05140305,56.2184639,57.15113831,58.9663353,60.6183815,69.29309845
950.9295044,974.4987183,1009.828674,776.152832,795.6615601,928.7993164
760.0706787,811.1694336,742.2849731,501.853302,469.1309204,585.87323
