2012,2013,2014,2015,2016,2017
7.25205E+11,6.79229E+11,6.47789E+11,6.3383E+11,6.39856E+11,6.46753E+11
1.5739E+11,1.7988E+11,2.00772E+11,2.14471E+11,2.16404E+11,2.28466E+11
31951760810,34311220715,37552298954,36570769323,36885283430,39170682136
58495656721,56861759588,59182858554,53862185493,48118943518,46433303401
50216507403,52001462448,53134750899,45647471641,47370589553,49195662250
60011530195,49023932407,46903466613,42106103306,46471287714,45387031802
44470341542,44865692370,44216057539,37020073195,39724906521,42365773545
26216580848,24825262589,25783708714,24046205860,26382947050,27691112417
47216920048,47403528801,50914096277,51295483754,56637622641,64559435281
33987005074,32874787231,32659614241,24617701683,24224746901,29283050314
81469399931,88352896464,84696504653,66418326824,69245309461,66527303992
